KIC,noise,noise_e,Pg,Pg_e,numax,numax_e,sig,sig_e,a1,a1_e,b1,b1_e,a2,a2_e,b2,b2_e,Ptot,Ptot_e,dnu,dnu_e,dnu02,dnu02_e,fm,fm_e,evoflag
9705548,38.842751,5.695092,194.9865,7.5856347,274.58786,1.2350524,18.977761,1.2543295,132.17778,1.9221629,67.49337,1.7870321,119.12927,9.9466171,245.77949,8.509294,96.25177,4.0014844,18.968064,0.011372943,2.3043564,0.018651125,273.54603,0.0085588214,0
9705636,10.043124,0.091600108,6256.8655,236.57348,33.914106,0.20090866,5.6842951,0.15214606,463.61287,10.64537,9.5821543,0.36177324,391.87922,10.351978,32.435621,0.55285408,298.46934,5.3926559,4.0587344,0.014368725,0.598858,0.019507641,35.763426,0.015327195,1
9705687,1.6165058,0.048893002,459.22866,13.242078,75.09747,0.3123712,11.274053,0.24372329,190.23998,3.1683655,24.065312,0.63052617,162.92549,3.5831963,76.435658,1.1638209,113.8954,1.6888814,6.7051043,0.012265429,0.8322829,0.018595585,80.004471,0.012158231,2
9705759,44.479166,0.44503984,5067.3045,260.56385,36.687442,0.2351911,5.4003415,0.20813847,377.3661,12.165919,11.29625,0.58181345,372.31073,11.01226,35.578823,0.68006731,261.70496,6.0443111,4.3428159,0.019331176,0.65217615,0.03114583,38.269133,0.016672873,1
9706194,10.166276,0.082744364,11398.836,482.62964,26.798653,0.14734539,4.0570532,0.11608874,494.22109,13.700533,7.7016351,0.36741853,444.06197,12.69619,24.951208,0.45292726,340.30722,6.2800425,3.2919945,0.0086169191,0.47062988,0.012826476,29.387671,0.0083191905,0
9706219,19.293676,0.25649007,410.37783,14.648602,87.036887,0.32900285,9.7442646,0.31740867,230.82899,3.5680184,23.187214,0.6472696,206.23177,3.087261,78.878981,0.95320812,100.07442,1.7314698,8.0003565,0.0081401784,1.0280552,0.013210475,89.15943,0.0080031666,0
9706585,7.8938196,0.074042767,8026.2421,359.82645,30.005005,0.19947989,4.932491,0.14372214,473.38409,14.138507,9.8420043,0.45409352,461.90827,14.04554,28.853261,0.5505865,314.86536,6.7939499,4.0835375,0.013196138,0.64615833,0.022330629,31.596113,0.011572709,1
9711231,7.5991599,0.088294868,3632.6233,121.49332,47.57089,0.1926475,6.3504903,0.1591413,380.79281,7.7530257,13.774152,0.48057131,329.41548,7.639977,44.450559,0.67189121,240.39107,3.6106168,5.1592138,0.0090194152,0.71698344,0.013355594,51.70912,0.0089173972,0
9711269,2.3784282,0.062787454,1447.2617,43.923929,64.957401,0.29972212,9.4697039,0.2402898,324.49907,6.1501807,17.433428,0.61013682,298.83834,5.8491628,56.915333,0.72745916,185.29516,2.7327797,6.4383769,0.0078897685,0.8336582,0.011257655,71.238907,0.0088828769,0
9711349,13.38844,0.091463988,48815.899,2534.8923,15.088629,0.11712101,2.5244389,0.092763637,678.07963,28.142257,4.142849,0.30941385,684.14534,23.557576,13.398198,0.28630531,555.3635,12.380277,2.1426698,0.0060615678,0.32966897,0.009734867,14.727822,0.0064495797,0
9711492,6.977931,0.084254888,1445.4233,49.206522,50.819949,0.28767681,8.4600845,0.21949495,281.16015,5.8850723,14.91334,0.54286609,258.10472,6.2170646,49.616439,0.79292947,175.02493,3.1184402,5.0965382,0.012156152,0.74221541,0.017127849,55.802743,0.010812343,2
9711510,12.859587,0.13187767,1234.5985,44.483015,52.577294,0.29988813,8.6984306,0.24626815,290.52614,5.6999498,16.036352,0.50239137,249.41612,6.126103,51.861076,0.84141185,164.01266,3.0907883,5.1368772,0.010582914,0.67191144,0.017027735,55.972381,0.010378829,2
9711988,23.348239,0.19826966,2878.6198,123.54072,37.489632,0.23958446,5.7339285,0.18402832,335.62038,8.6109985,11.599844,0.48545647,308.21989,8.6447871,36.355071,0.67305529,203.30659,4.3611445,4.0875118,0.016779925,0.58760316,0.020915242,40.10417,0.016354295,1
9712200,21.45803,0.21171413,2724.2488,103.52456,49.014879,0.2405764,6.5533856,0.19928304,377.48355,7.9783153,13.406893,0.4848915,332.79516,7.1011453,45.681517,0.65848519,211.45317,3.7985225,5.4035089,0.0067015333,0.75633517,0.0099703364,48.824035,0.0071684169,0
9712445,6.9983489,1.746939,293.23302,6.7551075,182.64744,0.28581137,15.298376,0.32235266,176.45625,1.9341262,47.062179,0.97392303,169.72717,2.7357104,183.21481,4.5664379,106.02191,1.1899402,14.203797,0.0055865184,1.8227293,0.0099540439,174.85455,0.0055365265,0
9712510,14.355778,0.1259432,5237.4121,210.42699,33.512469,0.22787903,5.7012375,0.17165296,416.81102,11.260301,9.4913204,0.44944647,382.01573,11.02636,31.033852,0.57297067,273.46285,5.3786313,3.7617852,0.0081881893,0.51834123,0.012867024,33.709351,0.0090811426,0
9712824,30.552868,1.1821133,439.93742,11.415872,147.24373,0.29760328,13.454295,0.31651201,209.56258,2.638032,37.838222,0.86449787,200.45689,2.5133247,141.26981,2.5583283,121.77861,1.5069138,11.994374,0.0064540121,1.5176863,0.01092829,147.29124,0.0060141724,0
9712888,4.5855986,0.050987524,5581.9284,235.31052,32.985657,0.25747947,6.2558882,0.18099489,488.26618,12.283144,10.044585,0.39844617,426.98084,12.397525,31.030061,0.56621359,295.7277,6.1525929,4.0831347,0.011974779,0.60975324,0.020430157,35.71202,0.01227911,1
9713083,3.1264877,0.041445186,3040.0225,111.03483,41.591317,0.22865598,6.5034844,0.16755046,346.32687,8.2930165,12.706037,0.51042077,321.79828,8.6012095,39.187766,0.66882522,222.54027,3.9661226,4.5280005,0.014887871,0.67512785,0.024676692,44.831677,0.013305171,1
9713617,4.9677109,0.75143194,387.49587,8.7335083,155.88158,0.2790003,15.08338,0.30593764,198.18081,2.3375947,41.23804,0.85914912,187.31432,2.1169387,147.77038,2.2217807,121.01831,1.2457199,12.502827,0.0080089254,1.547276,0.012343965,153.5829,0.0075298805,0
9714063,4.778426,0.059885529,2945.3783,110.00142,42.847823,0.23712452,6.5502087,0.17822692,357.57001,7.8690264,12.002484,0.43764928,311.74623,7.246805,41.161879,0.62982511,219.82656,3.9136962,4.5469111,0.0088668962,0.62969639,0.012563755,45.247859,0.0094014147,1
9716081,33.946812,0.25570239,9201.7222,431.76468,27.843732,0.19590025,4.3134504,0.15462947,501.48967,14.524617,8.6396926,0.4059317,480.23618,14.100669,26.594392,0.49729478,315.23142,7.2749097,3.7576091,0.014514789,0.54971387,0.02225562,28.972125,0.0097547024,1
9716866,12.261739,0.10600664,7426.3299,302.7682,32.40494,0.19285357,4.8492453,0.14820834,472.32638,12.540588,8.9517209,0.44297081,433.44343,12.07153,28.801117,0.50392681,300.30633,5.663786,3.7680899,0.0081179056,0.52339859,0.010443145,33.686641,0.0069782995,0
9716994,22.617873,0.19145401,6494.7684,305.1559,31.846415,0.20748564,4.8079549,0.15662437,445.54319,12.323047,9.6623553,0.44464042,423.75201,11.835868,30.879287,0.56294976,279.61338,6.1664492,4.1455575,0.01177443,0.62991197,0.019862439,32.388816,0.011056905,1
9717214,46.509933,0.3743338,4817.0022,209.19293,36.143243,0.19004441,4.9461192,0.15564198,396.05467,9.9426244,11.007294,0.45047272,341.36647,9.6967119,33.7049,0.62353486,244.25146,4.7851013,3.9864403,0.016861475,0.53546383,0.016049179,39.787397,0.012759791,0
9718024,4.2433398,0.046130123,4227.35,183.02602,34.504602,0.19640459,5.1292204,0.15735992,336.15436,10.042676,11.119821,0.51577431,345.51672,9.3278181,33.336272,0.5715171,233.01607,4.6540521,4.2340697,0.019664849,0.74367189,0.035609883,36.981925,0.017826452,1
9719012,14.971975,1.4509472,148.21941,3.9905173,195.51396,0.39108299,15.940094,0.50764768,141.45776,1.5734987,51.783698,1.0492082,135.97928,2.7660943,190.18131,5.64549,76.931554,1.1728286,15.103888,0.010407117,1.9541465,0.014782186,201.49203,0.0090849833,0
9723501,53.119069,0.42549999,3161.9763,157.10844,35.041551,0.24578581,5.4584194,0.19648072,378.08097,9.7519083,10.752007,0.46066282,336.90621,9.6690072,34.34662,0.65185222,207.86404,5.0971081,4.0568602,0.017395153,0.59309586,0.025374549,35.598387,0.017370782,1
9724029,44.609925,0.36956644,4669.3056,208.42563,39.186136,0.17320004,4.5430743,0.14153762,372.60769,9.6888915,10.213379,0.49826058,361.00797,7.7990981,36.108823,0.54209561,230.464,4.3792183,4.3993089,0.0057168744,0.6401668,0.0089160137,39.57612,0.0059204948,0
9724324,8.1044227,0.074512056,1180.076,46.770923,41.370123,0.24760085,6.3812969,0.19323676,230.36696,5.197829,11.897998,0.44278608,205.95682,5.0159433,40.85278,0.66940717,137.33196,2.75286,4.643978,0.0086257717,0.74715582,0.013619021,41.117351,0.0071131812,1
9724859,21.398827,0.17528332,3246.8888,151.83467,32.660067,0.20341701,4.8731167,0.15907462,333.87749,8.652731,9.802162,0.42255353,298.60344,8.2787142,32.174838,0.58686272,199.03785,4.4073531,3.5739534,0.0077634811,0.47710493,0.012064234,32.053106,0.0072885004,0
9724882,10.328632,0.095403204,4321.3595,161.55414,36.971822,0.18791953,5.5584851,0.14259168,348.88112,8.6144676,11.071335,0.469299,327.24189,8.6065961,36.020579,0.61743053,245.28769,4.2561532,4.3288674,0.012819465,0.70443356,0.024682516,38.259614,0.012700895,1
9726045,11.630273,0.010588468,542617.23,71754.811,4.1244684,0.06723933,0.67263988,0.05117282,1280.1421,111.41532,1.0315322,0.12644836,1676.9976,57.716629,4.0363294,0.090249937,952.58119,55.445715,0.80133451,0.013439509,0.13723065,0.013819866,4.4094865,0.014263519,0
9727261,34.69675,0.29873521,5553.1855,239.66305,37.390818,0.18131831,4.7916871,0.15842231,449.25797,10.376874,10.084058,0.36979672,355.26104,8.57143,36.75341,0.60120637,258.11935,4.9772355,4.4451614,0.0088726836,0.61243026,0.01307345,39.919131,0.009740546,0
9727392,6.9211137,0.070146495,3146.5865,124.55857,39.485873,0.21688721,5.6857771,0.16954255,324.78532,8.3245033,11.388772,0.51245472,330.1459,7.7397061,37.748366,0.57619445,211.67669,4.0582552,4.4612123,0.014418679,0.7075395,0.021824995,39.527466,0.016248207,1
9727675,12.776658,0.16367843,623.90354,21.359579,67.770928,0.38262953,10.835187,0.32461921,229.99987,4.7569679,21.132858,0.71962267,205.33634,5.3165702,64.657249,1.107335,130.128,2.3953265,6.0867659,0.013349162,0.81416193,0.020516902,72.938168,0.012353276,2
9728284,10.502403,0.11735724,2071.7852,83.909103,47.545982,0.25808091,6.8134052,0.22042981,343.82752,7.8758308,12.729598,0.53266222,307.00872,7.0773261,43.655896,0.66497337,188.01207,3.5546383,4.9194979,0.0077591637,0.66157143,0.01232449,49.341057,0.0089732528,0
9728845,8.1318835,0.087289193,5968.0138,317.72844,28.395903,0.26426395,5.0679469,0.19808371,439.40619,14.385426,7.9974186,0.39381891,385.38857,11.818076,26.437898,0.51738322,275.13491,7.0621798,3.1578653,0.0092474899,0.38624738,0.013572517,30.673806,0.010736906,1
9752290,3.8523283,0.079444987,34001.154,4488.1792,17.766912,0.23721841,2.4236822,0.21009991,560.98299,47.608469,5.0015164,0.71870213,553.41488,26.323084,16.194981,0.4618312,452.30474,23.354148,2.4057988,0.022882979,0.38651092,0.031323757,18.914242,0.018230224,0
